CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO,LAT_DECIMAL,LON_DECIMAL
200010001,Abejones,841,9.4938139616,Medio,17.435752,-96.608174
200020001,Acatlán de Pérez Figueroa,6341,11.408648887,Alto,18.538563,-96.60761
200020002,Agua Escondida,10,3.1414242988,Bajo,18.478344,-96.590691
200020003,Arroyo de Enmedio,1517,11.4547839098,Alto,18.496071,-96.546756
200020004,Arroyo de Pita,766,10.5248747037,Alto,18.392587,-96.362061
200020005,Aserradero Segundo,123,7.9823944146,Medio,18.450408,-96.644048
200020006,Barbasco,851,10.4604493378,Alto,18.583669,-96.559808
200020007,Cañada San Antonio,768,10.362045348,Alto,18.459648,-96.638975
200020008,Cañamazal,663,10.9339615215,Alto,18.565666,-96.494077
200020009,La Carbonera,866,11.0284967919,Alto,18.446379,-96.426731
200020011,El Cedral,628,10.1812757883,Alto,18.367069,-96.479877
200020012,Cerro Mojarra,2509,8.8673658542,Medio,18.391704,-96.597579
200020013,Cosolapa Sarmiento,482,7.2039293396,Medio,18.372974,-96.573309
200020014,La Defensa,821,11.8503295482,Alto,18.501826,-96.541431
200020015,Esperanza,287,10.9789500273,Alto,18.437631,-96.397346
200020016,La Estrella,152,8.2514857955,Medio,18.556985,-96.637805
200020017,Guadalupe de los Reyes,527,10.4201394142,Alto,18.553318,-96.631093
200020018,La Isleta,35,12.0816534116,Alto,18.482032,-96.437208
200020019,Joliette,793,10.468680246,Alto,18.413887,-96.377218
200020020,La Junta,1030,10.0717195018,Alto,18.490111,-96.657046
200020022,Las Maravillas,375,10.1622381559,Alto,18.507923,-96.638418
200020024,La Michuca,15,8.7442197867,Medio,18.496612,-96.42362
200020026,Ojo de Agua o Palma Cuata,415,10.6847181168,Alto,18.441054,-96.484294
200020027,La Palma,712,10.7307045436,Alto,18.468757,-96.433419
200020028,El Porvenir,869,10.5349699744,Alto,18.506471,-96.478683
200020029,Rancho Grande,935,10.9196662114,Alto,18.352835,-96.348667
200020030,La Raya,622,11.1654510734,Alto,18.404425,-96.366442
200020031,La Reforma,183,11.5547557212,Alto,18.483412,-96.464803
200020032,La Tabaquera,1283,9.8302126108,Alto,18.335994,-96.451218
200020033,Tembladera del Castillo,858,10.932723588,Alto,18.393097,-96.499098
200020036,Tembladera Vista Hermosa,338,10.5327156987,Alto,18.428985,-96.508329
200020037,Tetela,3100,11.408358756,Alto,18.508816,-96.458011
200020038,Torreón,477,10.8206110795,Alto,18.411659,-96.385655
200020039,Vicente Camalote,7024,11.8726417228,Alto,18.513523,-96.531845
200020041,Santa Elena,26,11.5819954928,Alto,18.504646,-96.505905
200020045,El Conejo,419,10.629789567,Alto,18.536104,-96.45291
200020047,Los Corrales,621,9.0837552888,Medio,18.425897,-96.617279
200020049,Tembladera de la Selva 1,790,10.6960771236,Alto,18.449133,-96.518033
200020051,Tembladera de la Selva 2,375,9.9086771528,Alto,18.437829,-96.530023
200020054,Sierra Mojarra,32,9.6572078125,Alto,18.54039,-96.621773
200020057,Primera Ampliación la Palma (El Viejo),53,10.0752105444,Alto,18.468348,-96.448369
200020058,Colonia Josefa Ortiz de Domínguez,211,10.2561828858,Alto,18.393683,-96.44189
200020061,El Zapote,224,8.6012288828,Medio,18.449824,-96.629878
200020067,Campo Chico,30,7.574444338,Medio,18.478007,-96.653328
200020069,La Coraza,347,10.696360161,Alto,18.407653,-96.513124
200020070,Miguel Hidalgo,413,11.3828549136,Alto,18.554839,-96.471591
200020077,Las Flores,19,11.2846504825,Alto,18.502644,-96.499612
200020078,Los Almendros,28,11.3240846706,Alto,18.569017,-96.469295
200020081,Los Lirios,156,9.0499240747,Medio,18.555074,-96.539789
200020089,Josefa Ortiz de Domínguez (La Josefita),65,9.9647486565,Alto,18.411066,-96.465804
200020092,Palo Solo,40,10.8743355207,Alto,18.486979,-96.432446
200020099,Los Reyes,81,6.8198995505,Bajo,18.565268,-96.646452
200020100,Saltillo,37,9.2059227694,Medio,18.567932,-96.532691
200020101,San Antonio Uno,29,6.9927830119,Bajo,18.391227,-96.581671
200020107,El Nanche,31,10.0632771121,Alto,18.544289,-96.624384
200020110,Aserradero,466,11.1489846703,Alto,18.510138,-96.571373
200020111,La Sabaneta,11,4.9954553584,Bajo,18.52815,-96.618101
200020114,Monte Alto,24,3.5107848395,Bajo,18.472457,-96.577852
200020116,Laguna Verde,108,10.6507471455,Alto,18.46077,-96.685685
200020117,Buenos Aires,413,9.9006935968,Alto,18.460897,-96.669415
200020118,Estancia de Vacas,11,11.2346878113,Alto,18.416525,-96.513534
200020119,Zona Urbana Ejidal,1730,11.2267435761,Alto,18.532724,-96.588276
200020120,Buenavista,50,11.7913186568,Alto,18.522903,-96.569349
200020122,San Evaristo,15,8.1273497395,Medio,18.573464,-96.527364
200020128,Las Casitas,18,9.1018398697,Medio,18.516849,-96.43303
200020129,El Cedro,13,10.2886740383,Alto,18.567138,-96.46574
200020131,El Setenta y Dos,45,9.8606787663,Alto,18.511574,-96.511331
200020136,Emiliano Zapata (Colonia 21 de Mayo),177,8.5541286836,Medio,18.429764,-96.606373
200020137,Los Vírgenes,13,12.4846914516,Alto,18.503388,-96.551584
200020138,El Esfuerzo,21,12.309598758,Alto,18.516182,-96.553647
200020142,El Carmen,41,11.1906703538,Alto,18.484443,-96.422683
200020146,San Antonio Dos,53,6.7614558043,Bajo,18.382909,-96.580332
200020147,Peña Blanca,211,6.3016389554,Bajo,18.406467,-96.659514
200020148,Plan de Ayala,141,8.408827835,Medio,18.373676,-96.66639
200020150,El Agostadero,10,4.2267888581,Bajo,18.372891,-96.343805
200020170,Rancho Pavón,6,10.0434414048,Alto,18.510509,-96.484049
200020174,Esperanza Madero,119,6.4567617547,Bajo,18.368582,-96.588103
200020183,Los Cañas (Tres Potencias),24,5.852947609,Bajo,18.4192,-96.600524
200020187,Garza Blanca,17,4.27146647,Bajo,18.376538,-96.627746
200020189,La Guadalupe,157,4.8309511104,Bajo,18.388828,-96.645965
200020190,Julián González Soriano,10,9.9848526155,Alto,18.418918,-96.615241
200020201,Santa Cruz,192,8.5339668164,Medio,18.475041,-96.654455
200020206,El Nacimiento,42,7.9829056135,Medio,18.562031,-96.623579
200020208,Rancho Hernández,7,12.0668663975,Alto,18.513383,-96.538065
200020210,Los Huertos [Fraccionamiento],225,12.4925021469,Alto,18.50158,-96.545742
200020223,Los Caracoles,6,1.3889241823,Bajo,18.539052,-96.641079
200020227,Palma Cuata,105,7.3581380234,Medio,18.362717,-96.621099
200020230,Los Lara [Rancho],27,11.8531130165,Alto,18.497299,-96.535248
200020235,Los Benitos [Rancho],15,8.0768721436,Medio,18.443044,-96.492278
