CLAVE_UNICA,NOM_LOC,POBTOT,SCORE_REZAGO,GRADO_REZAGO
200010001,Abejones,841,9.4938139616,Medio
200020001,Acatlán de Pérez Figueroa,6341,11.408648887,Alto
200020002,Agua Escondida,10,3.1414242988,Bajo
200020003,Arroyo de Enmedio,1517,11.4547839098,Alto
200020004,Arroyo de Pita,766,10.5248747037,Alto
200020005,Aserradero Segundo,123,7.9823944146,Medio
200020006,Barbasco,851,10.4604493378,Alto
200020007,Cañada San Antonio,768,10.362045348,Alto
200020008,Cañamazal,663,10.9339615215,Alto
200020009,La Carbonera,866,11.0284967919,Alto
200020011,El Cedral,628,10.1812757883,Alto
200020012,Cerro Mojarra,2509,8.8673658542,Medio
200020013,Cosolapa Sarmiento,482,7.2039293396,Medio
200020014,La Defensa,821,11.8503295482,Alto
200020015,Esperanza,287,10.9789500273,Alto
200020016,La Estrella,152,8.2514857955,Medio
200020017,Guadalupe de los Reyes,527,10.4201394142,Alto
200020018,La Isleta,35,12.0816534116,Alto
200020019,Joliette,793,10.468680246,Alto
200020020,La Junta,1030,10.0717195018,Alto
200020022,Las Maravillas,375,10.1622381559,Alto
200020024,La Michuca,15,8.7442197867,Medio
200020026,Ojo de Agua o Palma Cuata,415,10.6847181168,Alto
200020027,La Palma,712,10.7307045436,Alto
200020028,El Porvenir,869,10.5349699744,Alto
200020029,Rancho Grande,935,10.9196662114,Alto
200020030,La Raya,622,11.1654510734,Alto
200020031,La Reforma,183,11.5547557212,Alto
200020032,La Tabaquera,1283,9.8302126108,Alto
200020033,Tembladera del Castillo,858,10.932723588,Alto
200020036,Tembladera Vista Hermosa,338,10.5327156987,Alto
200020037,Tetela,3100,11.408358756,Alto
200020038,Torreón,477,10.8206110795,Alto
200020039,Vicente Camalote,7024,11.8726417228,Alto
200020041,Santa Elena,26,11.5819954928,Alto
200020045,El Conejo,419,10.629789567,Alto
200020047,Los Corrales,621,9.0837552888,Medio
